ApName,Super Build／SS7,,,,,,,,,,,,,,,,
Version,1. 1. 1.14,,,,,,,,,,,,,,,,
工事名,（仮称）巨勢町賃貸マンション新築工事,,,,,,,,,,,,,,,,
略称,巨勢町賃貸マンション,,,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,,,
出力日時,2020/9/1 9:25,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎フーチング材料,,,,,,,,,,,,,,,,,
材料,Fc,長期許容応力度,,,短期許容応力度,,,,,,,,,,,,
,または,圧縮,引張,せん断,圧縮,引張,せん断,付着(fb),,,,,,,,,
,F値,,,,,,,上端筋,その他,,,,,,,,
,,,,,,,,,,,,,,,,,
,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
Fc21(普通),21,7,,0.7,14,,1.05,1.14,1.43,<RE>,,,,,,,
"SD295A(D13,D16)",295,195,195,195,295,295,295,,,<RE>,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=独立杭基礎断面リスト,,,,,,,,,,,,,,,,,
符号,杭,,コンクリート,,,,,,,,配筋,,,,,,
,本数-符号,配置,杭間隔,,へりあき,,せい,Df,材料,埋込長,X方向,,,Y方向,,,
,,タイプ,Px,Py,Ex,Ey,,,,,本数-径,材料,dt,本数-径,材料,dt,
,,,mm,mm,mm,mm,mm,mm,,mm,,,mm,,,mm,
<data>,,,,,,,,,,,,,,,,,
F1,1-P1,,,,316,316,450,1100,Fc21,100,5-D13,SD295A,175,5-D13,SD295A,190,<RE>
F2,2-P1, Y並び,,1100,541,316,800,1100,Fc21,100,11-D13,SD295A,190,7-D16,SD295A,175,<RE>
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=既製杭断面リスト,,,,,,,,,,,,,,,,,
符号,部位,種類,杭径・杭種/鋼管厚,杭長,杭解析長,設計支持力,,,,,,,,,,,
,,,,,,支持力,,引き抜き力,,,,,,,,,
,,,,,,長期,短期,長期,短期,,,,,,,,
,,,mm,m,m,kN,kN,kN,kN,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
P1,上杭,鋼管杭 490,φ267.4 t=9.3,0,23.5,450,900,0,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎自重,,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,A,Df,Wf',Wg,Wf,,,,,,,,,
,,,,m2,m,kN,kN,kN,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,F1,0.81,1.1,10.5,7.4,17.8,<RE>,,,,,,,,
1FL,2,B,F2,2.7,1.1,40.3,19.1,59.4,<RE>,,,,,,,,
1FL,3,B,F2,2.7,1.1,40.3,19.1,59.4,<RE>,,,,,,,,
1FL,4,B,F2,2.7,1.1,40.3,19.1,59.4,<RE>,,,,,,,,
1FL,5,B,F2,2.7,1.1,40.3,19.1,59.4,<RE>,,,,,,,,
1FL,6,B,F2,2.7,1.1,40.3,19.1,59.4,<RE>,,,,,,,,
1FL,7,B,F2,2.7,1.1,42.8,16.7,59.4,<RE>,,,,,,,,
1FL,1,D,F1,0.81,1.1,9,8.9,17.8,<RE>,,,,,,,,
1FL,2,D,F2,2.7,1.1,40.3,19.1,59.4,<RE>,,,,,,,,
1FL,3,D,F2,2.7,1.1,40.3,19.1,59.4,<RE>,,,,,,,,
1FL,4,D,F2,2.7,1.1,40.3,19.1,59.4,<RE>,,,,,,,,
1FL,5,D,F2,2.7,1.1,40.3,19.1,59.4,<RE>,,,,,,,,
1FL,6,D,F2,2.7,1.1,40.3,19.1,59.4,<RE>,,,,,,,,
1FL,7,D,F2,2.7,1.1,42.8,16.7,59.4,<RE>,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=偏心距離,,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,ex,ey,,,,,,,,,,,,
,,,,mm,mm,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,F1,0,0,<RE>,,,,,,,,,,,
1FL,2,B,F2,0,0,<RE>,,,,,,,,,,,
1FL,3,B,F2,0,0,<RE>,,,,,,,,,,,
1FL,4,B,F2,0,0,<RE>,,,,,,,,,,,
1FL,5,B,F2,0,0,<RE>,,,,,,,,,,,
1FL,6,B,F2,0,0,<RE>,,,,,,,,,,,
1FL,7,B,F2,0,0,<RE>,,,,,,,,,,,
1FL,1,D,F1,0,0,<RE>,,,,,,,,,,,
1FL,2,D,F2,0,0,<RE>,,,,,,,,,,,
1FL,3,D,F2,0,0,<RE>,,,,,,,,,,,
1FL,4,D,F2,0,0,<RE>,,,,,,,,,,,
1FL,5,D,F2,0,0,<RE>,,,,,,,,,,,
1FL,6,D,F2,0,0,<RE>,,,,,,,,,,,
1FL,7,D,F2,0,0,<RE>,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=kh分布(収束条件),,,,,,,,,,,,,,,,,
方向,層,収束回数,収束条件,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
X加力,1FL,8,kh値が収束した,<RE>,,,,,,,,,,,,,
Y加力,1FL,8,kh値が収束した,<RE>,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=kh分布,,,,,,,,,,,,,,,,,
杭符号,地盤,深度[m](基礎底から),,,N値,Eo,β,α,kho,X,,Y,,,,,
,符号,,,,,,,,,y,kh,y,kh,,,,
,,,,,,,,,kN/m3,mm,kN/m3,mm,kN/m3,,,,
<data>,,,,,,,,,,,,,,,,,
P1,2,0,～,0.18,2,1400,1,80,9525,12.49,8523,12.49,8523,,,,
,,0.18,～,1.18,,914,1,80,6219,12.49,5565,12.49,5565,,,,
,,1.18,～,5.08,,914,1,80,6219,12.49,5565,12.49,5565,,,,
,,5.08,～,5.98,8,5600,1,80,38099,12.49,34091,12.49,34091,,,,
,,5.98,～,12.88,0,0,1,60,0,12.49,0,12.49,0,,,,
,,12.88,～,14.38,4,2800,1,80,19050,12.49,17046,12.49,17046,,,,
,,14.38,～,15.08,2,1400,1,60,7144,12.49,6392,12.49,6392,,,,
,,15.08,～,15.78,4,2800,1,60,14287,12.49,12784,12.49,12784,,,,
,,15.78,～,17.03,6,4200,1,80,28574,12.49,25568,12.49,25568,,,,
,,17.03,～,19.28,13,9100,1,80,61910,12.49,55397,12.49,55397,,,,
,,19.28,～,20.68,7,4900,1,80,33337,12.49,29829,12.49,29829,,,,
,,20.68,～,23.48,13,9100,1,80,61910,12.49,55397,12.49,55397,,,,
,,23.48,～,23.5,18,12600,1,80,85722,12.49,76703,12.49,76703,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=杭の負担水平力,,,,,,,,,,,,,,,,,
方向,層,上階せん断力,基礎重量,水平震度,H,Df,1 - α,杭水平力,,,,,,,,,
,,kN,kN,,m,m,,kN,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
X加力,1FL,827.5,3754.1,0.1,,,1,1202.9,<RE>,,,,,,,,
Y加力,1FL,827.5,3754.1,0.1,,,1,1202.9,<RE>,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=杭の水平時応力,case=X加力,,,,,,,,,,,,,,,,
層,杭符号,地盤,本数,αr,先端,杭解析長,杭長,杭径,E,I,kh,1/β,βL,杭頭変位,M,Q,
,,符号,,,,,部位ごと,,,,,,,,,,
,,,,,,m,m,mm,kN/mm2,cm4×10^4,kN/m3,m,,mm,kNm/本,kN/本,
<data>,,,,,,,,,,,,,,,,,
1FL,P1,2,26,1,ピン,23.5,23.5,268,200,0.63,8523,2.168,10.842,12.5,53.9,46.3,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=杭の水平時応力,case=Y加力,,,,,,,,,,,,,,,,
層,杭符号,地盤,本数,αr,先端,杭解析長,杭長,杭径,E,I,kh,1/β,βL,杭頭変位,M,Q,
,,符号,,,,,部位ごと,,,,,,,,,,
,,,,,,m,m,mm,kN/mm2,cm4×10^4,kN/m3,m,,mm,kNm/本,kN/本,
<data>,,,,,,,,,,,,,,,,,
1FL,P1,2,26,1,ピン,23.5,23.5,268,200,0.63,8523,2.168,10.842,12.5,53.9,46.3,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=杭の水平時応力(詳細),case=X加力,,,,,,,,,,,,,,,,
層,杭符号,地盤,深さ,M,Q,y,,,,,,,,,,,
,,符号,m,kNm,kN,mm,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,P1,2,0,53.9,46.3,12.5,,,,,,,,,,,
,,,0.18,46,41.2,12.43,,,,,,,,,,,
,,,1.18,13.8,24,10.37,,,,,,,,,,,
,,,2.16,-3,11.2,7.21,,,,,,,,,,,
,,,3.13,-9.5,3,4.2,,,,,,,,,,,
,,,4.11,-10,-1.4,1.87,,,,,,,,,,,
,,,5.08,-7.8,-2.9,0.28,,,,,,,,,,,
,,,5.98,-5.5,-1,-0.67,,,,,,,,,,,
,,,6.88,-4.6,-1,-1.26,,,,,,,,,,,
,,,7.78,-3.7,-1,-1.56,,,,,,,,,,,
,,,8.68,-2.9,-1,-1.62,,,,,,,,,,,
,,,9.58,-2,-1,-1.49,,,,,,,,,,,
,,,10.48,-1.1,-1,-1.25,,,,,,,,,,,
,,,11.28,-0.3,-1,-0.97,,,,,,,,,,,
,,,12.08,0.5,-1,-0.67,,,,,,,,,,,
,,,12.88,1.3,-1,-0.4,,,,,,,,,,,
,,,13.63,1.6,0.1,-0.21,,,,,,,,,,,
,,,14.38,1.4,0.5,-0.08,,,,,,,,,,,
,,,15.08,1,0.6,-0.01,,,,,,,,,,,
,,,15.78,0.7,0.6,0.03,,,,,,,,,,,
,,,16.41,0.4,0.5,0.03,,,,,,,,,,,
,,,17.03,0.1,0.3,0.03,,,,,,,,,,,
,,,17.78,-0.1,0.1,0.02,,,,,,,,,,,
,,,18.53,-0.1,-0.1,0.01,,,,,,,,,,,
,,,19.28,-0.1,-0.1,0.01,,,,,,,,,,,
,,,19.98,-0.1,-0.1,-0.01,,,,,,,,,,,
,,,20.68,-0.1,-0.1,-0.01,,,,,,,,,,,
,,,21.62,-0.1,-0.1,-0.01,,,,,,,,,,,
,,,22.55,0.1,0.1,-0.01,,,,,,,,,,,
,,,23.48,0.1,0.1,-0.01,,,,,,,,,,,
,,,23.5,0,0.1,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=杭の水平時応力(詳細),case=Y加力,,,,,,,,,,,,,,,,
層,杭符号,地盤,深さ,M,Q,y,,,,,,,,,,,
,,符号,m,kNm,kN,mm,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,P1,2,0,53.9,46.3,12.5,,,,,,,,,,,
,,,0.18,46,41.2,12.43,,,,,,,,,,,
,,,1.18,13.8,24,10.37,,,,,,,,,,,
,,,2.16,-3,11.2,7.21,,,,,,,,,,,
,,,3.13,-9.5,3,4.2,,,,,,,,,,,
,,,4.11,-10,-1.4,1.87,,,,,,,,,,,
,,,5.08,-7.8,-2.9,0.28,,,,,,,,,,,
,,,5.98,-5.5,-1,-0.67,,,,,,,,,,,
,,,6.88,-4.6,-1,-1.26,,,,,,,,,,,
,,,7.78,-3.7,-1,-1.56,,,,,,,,,,,
,,,8.68,-2.9,-1,-1.62,,,,,,,,,,,
,,,9.58,-2,-1,-1.49,,,,,,,,,,,
,,,10.48,-1.1,-1,-1.25,,,,,,,,,,,
,,,11.28,-0.3,-1,-0.97,,,,,,,,,,,
,,,12.08,0.5,-1,-0.67,,,,,,,,,,,
,,,12.88,1.3,-1,-0.4,,,,,,,,,,,
,,,13.63,1.6,0.1,-0.21,,,,,,,,,,,
,,,14.38,1.4,0.5,-0.08,,,,,,,,,,,
,,,15.08,1,0.6,-0.01,,,,,,,,,,,
,,,15.78,0.7,0.6,0.03,,,,,,,,,,,
,,,16.41,0.4,0.5,0.03,,,,,,,,,,,
,,,17.03,0.1,0.3,0.03,,,,,,,,,,,
,,,17.78,-0.1,0.1,0.02,,,,,,,,,,,
,,,18.53,-0.1,-0.1,0.01,,,,,,,,,,,
,,,19.28,-0.1,-0.1,0.01,,,,,,,,,,,
,,,19.98,-0.1,-0.1,-0.01,,,,,,,,,,,
,,,20.68,-0.1,-0.1,-0.01,,,,,,,,,,,
,,,21.62,-0.1,-0.1,-0.01,,,,,,,,,,,
,,,22.55,0.1,0.1,-0.01,,,,,,,,,,,
,,,23.48,0.1,0.1,-0.01,,,,,,,,,,,
,,,23.5,0,0.1,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=杭の水平力分担表,,,,,,,,,,,,,,,,,
層,X軸,Y軸,杭符号,本数,X方向,,Y方向,,,,,,,,,,
,,,,,杭Q,Q,杭Q,Q,,,,,,,,,
,,,,,kN/本,kN,kN/本,kN,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,P1,1,46.3,46.3,46.3,46.3,<RE>,,,,,,,,
1FL,2,B,P1,2,46.3,92.6,46.3,92.6,<RE>,,,,,,,,
1FL,3,B,P1,2,46.3,92.6,46.3,92.6,<RE>,,,,,,,,
1FL,4,B,P1,2,46.3,92.6,46.3,92.6,<RE>,,,,,,,,
1FL,5,B,P1,2,46.3,92.6,46.3,92.6,<RE>,,,,,,,,
1FL,6,B,P1,2,46.3,92.6,46.3,92.6,<RE>,,,,,,,,
1FL,7,B,P1,2,46.3,92.6,46.3,92.6,<RE>,,,,,,,,
1FL,1,D,P1,1,46.3,46.3,46.3,46.3,<RE>,,,,,,,,
1FL,2,D,P1,2,46.3,92.6,46.3,92.6,<RE>,,,,,,,,
1FL,3,D,P1,2,46.3,92.6,46.3,92.6,<RE>,,,,,,,,
1FL,4,D,P1,2,46.3,92.6,46.3,92.6,<RE>,,,,,,,,
1FL,5,D,P1,2,46.3,92.6,46.3,92.6,<RE>,,,,,,,,
1FL,6,D,P1,2,46.3,92.6,46.3,92.6,<RE>,,,,,,,,
1FL,7,D,P1,2,46.3,92.6,46.3,92.6,<RE>,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎梁への曲げ戻し応力表,,,,,,,,,,,,,,,,,
層,X軸,Y軸,杭符号,本数,X方向,,,,Y方向,,,,,,,,
,,,,,杭頭M,杭頭Q,h,曲戻しM,杭頭M,杭頭Q,h,曲戻しM,,,,,
,,,,,kNm,kN,mm,kNm,kNm,kN,mm,kNm,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,P1,1,53.9,46.3,648,83.8,53.9,46.3,648,83.8,<RE>,,,,
1FL,2,B,P1,2,107.8,92.6,648,167.6,107.8,92.6,648,167.6,<RE>,,,,
1FL,3,B,P1,2,107.8,92.6,648,167.6,107.8,92.6,648,167.6,<RE>,,,,
1FL,4,B,P1,2,107.8,92.6,648,167.6,107.8,92.6,648,167.6,<RE>,,,,
1FL,5,B,P1,2,107.8,92.6,648,167.6,107.8,92.6,648,167.6,<RE>,,,,
1FL,6,B,P1,2,107.8,92.6,648,167.6,107.8,92.6,648,167.6,<RE>,,,,
1FL,7,B,P1,2,107.8,92.6,648,167.6,107.8,92.6,648,167.6,<RE>,,,,
1FL,1,D,P1,1,53.9,46.3,648,83.8,53.9,46.3,648,83.8,<RE>,,,,
1FL,2,D,P1,2,107.8,92.6,648,167.6,107.8,92.6,648,167.6,<RE>,,,,
1FL,3,D,P1,2,107.8,92.6,648,167.6,107.8,92.6,648,167.6,<RE>,,,,
1FL,4,D,P1,2,107.8,92.6,648,167.6,107.8,92.6,648,167.6,<RE>,,,,
1FL,5,D,P1,2,107.8,92.6,648,167.6,107.8,92.6,648,167.6,<RE>,,,,
1FL,6,D,P1,2,107.8,92.6,648,167.6,107.8,92.6,648,167.6,<RE>,,,,
1FL,7,D,P1,2,107.8,92.6,648,167.6,107.8,92.6,648,167.6,<RE>,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎梁応力表,case=G+P,,,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,,,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,B,1,2,FG1,1,3000,上部,0.3,-0.9,-38.4,7.3,32.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,2,3,FG1,1,4995,上部,41.4,38.3,-66.2,53.7,63.6,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,3,4,FG1,1,5200,上部,66.3,36.2,-65.3,62.8,62.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,4,5,FG1,1,5200,上部,65.7,38.3,-61.8,63.3,61.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,5,6,FG1,1,5200,上部,61.9,33,-76.2,59.8,65.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,6,7,FG2,1,4995,上部,77.4,51.4,-4,73.4,44,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,1,2,FG1,1,3000,上部,0.3,-0.4,-40.9,8.1,35.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,2,3,FG1,1,4995,上部,42.9,37.9,-65.9,54.1,63.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,3,4,FG1,1,5200,上部,66,36.6,-65.6,62.7,62.6,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,4,5,FG1,1,5200,上部,65.9,38.4,-62.1,63.4,61.9,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,5,6,FG1,1,5200,上部,62,33.2,-76.4,59.9,65.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,6,7,FG2,1,4995,上部,77.5,51.5,-4.2,73.4,44.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,E,1,2,FB1,1,3000,上部,0,15.1,0,20.1,17.5,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,B,C,FG11,1,5036,上部,11.5,107.2,102.7,64.6,22.5,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,C,D,FG11,1,2836,上部,-102.7,34.7,-69.8,-37,81.5,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,D,E,FCG1,1,1815,上部,60.6,-24.1,0,43.6,-20.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,A,B,FCG1,1,1715,上部,0,-13.3,-39.2,-6.3,34.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,B,C,FG11,1,5036,上部,50.7,141.3,148.1,97.5,33.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,C,D,FG11,1,2836,上部,-148.1,55,-84.6,-47.5,106.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,D,E,FCG1,1,1815,上部,72.9,-29.6,0,51.1,-24.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,A,B,FCG1,1,1715,上部,0,-19.9,-52.7,-12.6,41.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,B,D,FG11,1,7871,上部,74,191.9,-82.3,112,114.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,D,E,FCG1,1,1815,上部,60.3,-22.7,0,45,-13.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,A,B,FCG1,1,1715,上部,0,-19.9,-52.7,-12.6,41.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,B,D,FG11,1,7871,上部,74.4,194.3,-82.5,112.9,114.9,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,D,E,FCG1,1,1815,上部,60.3,-22.7,0,45,-13.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,A,B,FCG1,1,1715,上部,0,-19.9,-52.7,-12.6,41.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,B,D,FG11,1,7871,上部,74.5,194.3,-82.4,112.9,114.9,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,D,E,FCG1,1,1815,上部,60.3,-22.7,0,45,-13.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,A,B,FCG1,1,1715,上部,0,-19.9,-52.7,-12.6,41.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,B,D,FG11,1,7871,上部,74.3,191.9,-82,112.1,114.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,D,E,FCG1,1,1815,上部,60.3,-22.7,0,45,-13.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,A,B,FCG1,1,1715,上部,0,-13.3,-39.2,-6.3,34.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,B,D,FG11,1,7871,上部,49.7,139.2,-55.2,83,84.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
