ApName,Super Build／SS7,,,,,,,,,,,,,,,,
1FL,4,D,F2,P1,x,0,-0.1,0,,,648,400,-0.1,-0.1,考慮しない,,
,,,,,y,0,14.2,0,,,,,3.6,9.2,,<RE>,
1FL,5,D,F2,P1,x,0,0.1,0,,,648,400,0.1,0.1,考慮しない,,
,,,,,y,0,14.1,0,,,,,3.5,9.1,,<RE>,
1FL,6,D,F2,P1,x,0,-0.4,0,,,648,400,-0.1,-0.3,考慮しない,,
,,,,,y,0,13.7,0,,,,,3.4,8.9,,<RE>,
1FL,7,D,F2,P1,x,0,3.5,0,,,648,400,0.9,2.3,考慮しない,,
,,,,,y,0,7.6,0,,,,,1.9,4.9,,<RE>,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎設計用曲げ応力表,case=L+Wx,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,杭符号,方向,支点M,支点Q,偏心M,杭頭M,杭頭Q,h1,h2,M1,M2,曲げの考慮,,
,,,,,,kNm,kN,kNm,kNm,kN,mm,mm,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,F1,P1,x,0,6.6,0,,,648,225,2.8,4.3,考慮しない,,
,,,,,y,0,-10,0,,,,,-4.2,-6.5,,<RE>,
1FL,2,B,F2,P1,x,0,5.4,0,,,648,400,1.4,3.5,考慮しない,,
,,,,,y,0,-12.7,0,,,,,-3.2,-8.3,,<RE>,
1FL,3,B,F2,P1,x,0,14.7,0,,,648,400,3.7,9.6,考慮しない,,
,,,,,y,0,-18,0,,,,,-4.5,-11.7,,<RE>,
1FL,4,B,F2,P1,x,0,14.6,0,,,648,400,3.6,9.5,考慮しない,,
,,,,,y,0,-17.6,0,,,,,-4.4,-11.4,,<RE>,
1FL,5,B,F2,P1,x,0,14.7,0,,,648,400,3.7,9.5,考慮しない,,
,,,,,y,0,-17.7,0,,,,,-4.4,-11.5,,<RE>,
1FL,6,B,F2,P1,x,0,14.3,0,,,648,400,3.6,9.3,考慮しない,,
,,,,,y,0,-17.6,0,,,,,-4.4,-11.4,,<RE>,
1FL,7,B,F2,P1,x,0,14.3,0,,,648,400,3.6,9.3,考慮しない,,
,,,,,y,0,-9.6,0,,,,,-2.4,-6.2,,<RE>,
1FL,1,D,F1,P1,x,0,8.9,0,,,648,225,3.8,5.8,考慮しない,,
,,,,,y,0,5.7,0,,,,,2.4,3.7,,<RE>,
1FL,2,D,F2,P1,x,0,7.2,0,,,648,400,1.8,4.6,考慮しない,,
,,,,,y,0,11,0,,,,,2.7,7.1,,<RE>,
1FL,3,D,F2,P1,x,0,14.6,0,,,648,400,3.7,9.5,考慮しない,,
,,,,,y,0,17.8,0,,,,,4.4,11.6,,<RE>,
1FL,4,D,F2,P1,x,0,14.8,0,,,648,400,3.7,9.6,考慮しない,,
,,,,,y,0,17.3,0,,,,,4.3,11.2,,<RE>,
1FL,5,D,F2,P1,x,0,14.9,0,,,648,400,3.7,9.7,考慮しない,,
,,,,,y,0,17.2,0,,,,,4.3,11.1,,<RE>,
1FL,6,D,F2,P1,x,0,14.5,0,,,648,400,3.6,9.4,考慮しない,,
,,,,,y,0,16.9,0,,,,,4.2,11,,<RE>,
1FL,7,D,F2,P1,x,0,14.5,0,,,648,400,3.6,9.4,考慮しない,,
,,,,,y,0,9.2,0,,,,,2.3,6,,<RE>,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎設計用曲げ応力表,case=L-Wx,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,杭符号,方向,支点M,支点Q,偏心M,杭頭M,杭頭Q,h1,h2,M1,M2,曲げの考慮,,
,,,,,,kNm,kN,kNm,kNm,kN,mm,mm,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,F1,P1,x,0,-6.1,0,,,648,225,-2.6,-3.9,考慮しない,,
,,,,,y,0,-9.5,0,,,,,-4,-6.2,,<RE>,
1FL,2,B,F2,P1,x,0,-11.2,0,,,648,400,-2.8,-7.3,考慮しない,,
,,,,,y,0,-11.1,0,,,,,-2.8,-7.2,,<RE>,
1FL,3,B,F2,P1,x,0,-15,0,,,648,400,-3.7,-9.7,考慮しない,,
,,,,,y,0,-17.2,0,,,,,-4.3,-11.1,,<RE>,
1FL,4,B,F2,P1,x,0,-15.2,0,,,648,400,-3.8,-9.8,考慮しない,,
,,,,,y,0,-17.6,0,,,,,-4.4,-11.4,,<RE>,
1FL,5,B,F2,P1,x,0,-15,0,,,648,400,-3.7,-9.7,考慮しない,,
,,,,,y,0,-18,0,,,,,-4.5,-11.6,,<RE>,
1FL,6,B,F2,P1,x,0,-15.5,0,,,648,400,-3.9,-10,考慮しない,,
,,,,,y,0,-19.3,0,,,,,-4.8,-12.5,,<RE>,
1FL,7,B,F2,P1,x,0,-9.3,0,,,648,400,-2.3,-6.1,考慮しない,,
,,,,,y,0,-11.1,0,,,,,-2.8,-7.2,,<RE>,
1FL,1,D,F1,P1,x,0,-8.7,0,,,648,225,-3.7,-5.7,考慮しない,,
,,,,,y,0,6.6,0,,,,,2.8,4.3,,<RE>,
1FL,2,D,F2,P1,x,0,-11.1,0,,,648,400,-2.8,-7.2,考慮しない,,
,,,,,y,0,10.5,0,,,,,2.6,6.8,,<RE>,
1FL,3,D,F2,P1,x,0,-14.6,0,,,648,400,-3.6,-9.5,考慮しない,,
,,,,,y,0,17.3,0,,,,,4.3,11.2,,<RE>,
1FL,4,D,F2,P1,x,0,-14.9,0,,,648,400,-3.7,-9.6,考慮しない,,
,,,,,y,0,17.3,0,,,,,4.3,11.2,,<RE>,
1FL,5,D,F2,P1,x,0,-14.7,0,,,648,400,-3.7,-9.5,考慮しない,,
,,,,,y,0,17.2,0,,,,,4.3,11.1,,<RE>,
1FL,6,D,F2,P1,x,0,-15.2,0,,,648,400,-3.8,-9.9,考慮しない,,
,,,,,y,0,18.1,0,,,,,4.5,11.7,,<RE>,
1FL,7,D,F2,P1,x,0,-9.2,0,,,648,400,-2.3,-6,考慮しない,,
,,,,,y,0,10.3,0,,,,,2.6,6.7,,<RE>,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎設計用曲げ応力表,case=L+Wy,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,杭符号,方向,支点M,支点Q,偏心M,杭頭M,杭頭Q,h1,h2,M1,M2,曲げの考慮,,
,,,,,,kNm,kN,kNm,kNm,kN,mm,mm,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,F1,P1,x,0,-3.4,0,,,648,225,-1.5,-2.2,考慮しない,,
,,,,,y,0,6.2,0,,,,,2.6,4,,<RE>,
1FL,2,B,F2,P1,x,0,-2.9,0,,,648,400,-0.8,-1.9,考慮しない,,
,,,,,y,0,10.5,0,,,,,2.6,6.8,,<RE>,
1FL,3,B,F2,P1,x,0,-0.3,0,,,648,400,-0.1,-0.2,考慮しない,,
,,,,,y,0,17.5,0,,,,,4.4,11.4,,<RE>,
1FL,4,B,F2,P1,x,0,-0.4,0,,,648,400,-0.1,-0.3,考慮しない,,
,,,,,y,0,17.1,0,,,,,4.3,11.1,,<RE>,
1FL,5,B,F2,P1,x,0,-0.3,0,,,648,400,-0.1,-0.2,考慮しない,,
,,,,,y,0,16.8,0,,,,,4.2,10.9,,<RE>,
1FL,6,B,F2,P1,x,0,-0.7,0,,,648,400,-0.2,-0.5,考慮しない,,
,,,,,y,0,16.8,0,,,,,4.2,10.9,,<RE>,
1FL,7,B,F2,P1,x,0,8.2,0,,,648,400,2.1,5.3,考慮しない,,
,,,,,y,0,9.1,0,,,,,2.3,5.9,,<RE>,
1FL,1,D,F1,P1,x,0,-2.7,0,,,648,225,-1.2,-1.8,考慮しない,,
,,,,,y,0,19.3,0,,,,,8.2,12.5,,<RE>,
1FL,2,D,F2,P1,x,0,-1,0,,,648,400,-0.3,-0.7,考慮しない,,
,,,,,y,0,24.8,0,,,,,6.2,16.1,,<RE>,
1FL,3,D,F2,P1,x,0,0.1,0,,,648,400,0.1,0.1,考慮しない,,
,,,,,y,0,42.5,0,,,,,10.5,27.5,,<RE>,
1FL,4,D,F2,P1,x,0,0.1,0,,,648,400,0.1,0.1,考慮しない,,
,,,,,y,0,42.4,0,,,,,10.5,27.5,,<RE>,
1FL,5,D,F2,P1,x,0,0.2,0,,,648,400,0.1,0.2,考慮しない,,
,,,,,y,0,42.2,0,,,,,10.5,27.3,,<RE>,
1FL,6,D,F2,P1,x,0,-0.3,0,,,648,400,-0.1,-0.2,考慮しない,,
,,,,,y,0,41.7,0,,,,,10.3,27,,<RE>,
1FL,7,D,F2,P1,x,0,8.5,0,,,648,400,2.1,5.5,考慮しない,,
,,,,,y,0,23.2,0,,,,,5.8,15,,<RE>,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎設計用曲げ応力表,case=L-Wy,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,杭符号,方向,支点M,支点Q,偏心M,杭頭M,杭頭Q,h1,h2,M1,M2,曲げの考慮,,
,,,,,,kNm,kN,kNm,kNm,kN,mm,mm,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,F1,P1,x,0,-3.5,0,,,648,225,-1.5,-2.3,考慮しない,,
,,,,,y,0,-22.8,0,,,,,-9.6,-14.8,,<RE>,
1FL,2,B,F2,P1,x,0,-2.9,0,,,648,400,-0.8,-1.9,考慮しない,,
,,,,,y,0,-25.8,0,,,,,-6.4,-16.7,,<RE>,
1FL,3,B,F2,P1,x,0,-0.1,0,,,648,400,-0.1,-0.1,考慮しない,,
,,,,,y,0,-42.8,0,,,,,-10.6,-27.7,,<RE>,
1FL,4,B,F2,P1,x,0,-0.3,0,,,648,400,-0.1,-0.2,考慮しない,,
,,,,,y,0,-43.1,0,,,,,-10.7,-27.9,,<RE>,
1FL,5,B,F2,P1,x,0,-0.1,0,,,648,400,-0.1,-0.1,考慮しない,,
,,,,,y,0,-43.2,0,,,,,-10.7,-28,,<RE>,
1FL,6,B,F2,P1,x,0,-0.6,0,,,648,400,-0.2,-0.4,考慮しない,,
,,,,,y,0,-43.1,0,,,,,-10.7,-27.9,,<RE>,
1FL,7,B,F2,P1,x,0,8.3,0,,,648,400,2.1,5.4,考慮しない,,
,,,,,y,0,-24,0,,,,,-6,-15.5,,<RE>,
1FL,1,D,F1,P1,x,0,-3.2,0,,,648,225,-1.4,-2.1,考慮しない,,
,,,,,y,0,-6.3,0,,,,,-2.7,-4.1,,<RE>,
1FL,2,D,F2,P1,x,0,-0.7,0,,,648,400,-0.2,-0.5,考慮しない,,
,,,,,y,0,-8.8,0,,,,,-2.2,-5.7,,<RE>,
1FL,3,D,F2,P1,x,0,-0.1,0,,,648,400,-0.1,-0.1,考慮しない,,
,,,,,y,0,-17.6,0,,,,,-4.4,-11.4,,<RE>,
1FL,4,D,F2,P1,x,0,-0.1,0,,,648,400,-0.1,-0.1,考慮しない,,
,,,,,y,0,-17.5,0,,,,,-4.4,-11.3,,<RE>,
1FL,5,D,F2,P1,x,0,0.1,0,,,648,400,0.1,0.1,考慮しない,,
,,,,,y,0,-17.6,0,,,,,-4.4,-11.4,,<RE>,
1FL,6,D,F2,P1,x,0,-0.4,0,,,648,400,-0.1,-0.3,考慮しない,,
,,,,,y,0,-17.8,0,,,,,-4.4,-11.6,,<RE>,
1FL,7,D,F2,P1,x,0,8.5,0,,,648,400,2.1,5.5,考慮しない,,
,,,,,y,0,-9.8,0,,,,,-2.5,-6.4,,<RE>,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎設計用曲げ応力表,case=L+Ex,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,杭符号,方向,支点M,支点Q,偏心M,杭頭M,杭頭Q,h1,h2,M1,M2,曲げの考慮,,
,,,,,,kNm,kN,kNm,kNm,kN,mm,mm,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,F1,P1,x,0,21,0,0,,648,225,8.9,13.6,考慮しない,,
,,,,,y,0,-8.5,0,0,,,,-3.6,-5.5,,<RE>,
1FL,2,B,F2,P1,x,0,35.3,0,0,,648,400,8.8,22.9,考慮しない,,
,,,,,y,0,-8.6,0,0,,,,-2.2,-5.6,,<RE>,
1FL,3,B,F2,P1,x,0,75.7,0,0,,648,400,18.7,49,考慮しない,,
,,,,,y,0,-13.5,0,0,,,,-3.4,-8.7,,<RE>,
1FL,4,B,F2,P1,x,0,75.6,0,0,,648,400,18.7,48.9,考慮しない,,
,,,,,y,0,-13.7,0,0,,,,-3.4,-8.9,,<RE>,
1FL,5,B,F2,P1,x,0,75.6,0,0,,648,400,18.7,49,考慮しない,,
,,,,,y,0,-13.7,0,0,,,,-3.4,-8.9,,<RE>,
1FL,6,B,F2,P1,x,0,75.5,0,0,,648,400,18.7,48.9,考慮しない,,
,,,,,y,0,-13.6,0,0,,,,-3.4,-8.8,,<RE>,
1FL,7,B,F2,P1,x,0,40.8,0,0,,648,400,10.1,26.4,考慮しない,,
,,,,,y,0,-7.4,0,0,,,,-1.9,-4.8,,<RE>,
1FL,1,D,F1,P1,x,0,39.6,0,0,,648,225,16.7,25.6,考慮しない,,
,,,,,y,0,6.7,0,0,,,,2.9,4.4,,<RE>,
1FL,2,D,F2,P1,x,0,47.2,0,0,,648,400,11.7,30.6,考慮しない,,
,,,,,y,0,8.5,0,0,,,,2.1,5.5,,<RE>,
1FL,3,D,F2,P1,x,0,74.3,0,0,,648,400,18.4,48.1,考慮しない,,
,,,,,y,0,13.9,0,0,,,,3.5,9,,<RE>,
1FL,4,D,F2,P1,x,0,75.6,0,0,,648,400,18.7,49,考慮しない,,
,,,,,y,0,14.1,0,0,,,,3.5,9.1,,<RE>,
1FL,5,D,F2,P1,x,0,75.6,0,0,,648,400,18.7,48.9,考慮しない,,
,,,,,y,0,14,0,0,,,,3.5,9.1,,<RE>,
1FL,6,D,F2,P1,x,0,75.5,0,0,,648,400,18.7,48.9,考慮しない,,
,,,,,y,0,13.8,0,0,,,,3.5,9,,<RE>,
1FL,7,D,F2,P1,x,0,40.8,0,0,,648,400,10.1,26.4,考慮しない,,
,,,,,y,0,7.8,0,0,,,,2,5.1,,<RE>,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎設計用曲げ応力表,case=L-Ex,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,杭符号,方向,支点M,支点Q,偏心M,杭頭M,杭頭Q,h1,h2,M1,M2,曲げの考慮,,
,,,,,,kNm,kN,kNm,kNm,kN,mm,mm,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,F1,P1,x,0,-21.5,0,0,,648,225,-9.1,-13.9,考慮しない,,
,,,,,y,0,-8.4,0,0,,,,-3.6,-5.4,,<RE>,
1FL,2,B,F2,P1,x,0,-41.2,0,0,,648,400,-10.2,-26.7,考慮しない,,
,,,,,y,0,-7.9,0,0,,,,-2,-5.1,,<RE>,
1FL,3,B,F2,P1,x,0,-75.9,0,0,,648,400,-18.8,-49.2,考慮しない,,
,,,,,y,0,-13.2,0,0,,,,-3.3,-8.5,,<RE>,
1FL,4,B,F2,P1,x,0,-76.2,0,0,,648,400,-18.9,-49.3,考慮しない,,
,,,,,y,0,-13.6,0,0,,,,-3.4,-8.8,,<RE>,
1FL,5,B,F2,P1,x,0,-75.9,0,0,,648,400,-18.8,-49.2,考慮しない,,
,,,,,y,0,-13.9,0,0,,,,-3.5,-9,,<RE>,
1FL,6,B,F2,P1,x,0,-76.8,0,0,,648,400,-19,-49.7,考慮しない,,
,,,,,y,0,-14,0,0,,,,-3.5,-9.1,,<RE>,
1FL,7,B,F2,P1,x,0,-34.3,0,0,,648,400,-8.5,-22.2,考慮しない,,
,,,,,y,0,-7.9,0,0,,,,-2,-5.2,,<RE>,
1FL,1,D,F1,P1,x,0,-40,0,0,,648,225,-16.9,-25.9,考慮しない,,
,,,,,y,0,6.8,0,0,,,,2.9,4.4,,<RE>,
1FL,2,D,F2,P1,x,0,-50.9,0,0,,648,400,-12.6,-33,考慮しない,,
,,,,,y,0,9.2,0,0,,,,2.3,6,,<RE>,
1FL,3,D,F2,P1,x,0,-74.2,0,0,,648,400,-18.4,-48.1,考慮しない,,
,,,,,y,0,14.2,0,0,,,,3.6,9.2,,<RE>,
1FL,4,D,F2,P1,x,0,-75.7,0,0,,648,400,-18.7,-49,考慮しない,,
,,,,,y,0,14.1,0,0,,,,3.5,9.2,,<RE>,
1FL,5,D,F2,P1,x,0,-75.4,0,0,,648,400,-18.7,-48.8,考慮しない,,
,,,,,y,0,13.9,0,0,,,,3.5,9,,<RE>,
1FL,6,D,F2,P1,x,0,-76.2,0,0,,648,400,-18.9,-49.4,考慮しない,,
,,,,,y,0,13.4,0,0,,,,3.3,8.7,,<RE>,
1FL,7,D,F2,P1,x,0,-33.9,0,0,,648,400,-8.4,-22,考慮しない,,
,,,,,y,0,7.3,0,0,,,,1.8,4.7,,<RE>,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎設計用曲げ応力表,case=L+Ey,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,杭符号,方向,支点M,支点Q,偏心M,杭頭M,杭頭Q,h1,h2,M1,M2,曲げの考慮,,
,,,,,,kNm,kN,kNm,kNm,kN,mm,mm,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,F1,P1,x,0,0.1,0,0,,648,225,0.1,0.1,考慮しない,,
,,,,,y,0,29.2,0,0,,,,12.4,18.9,,<RE>,
1FL,2,B,F2,P1,x,0,-2.8,0,0,,648,400,-0.7,-1.8,考慮しない,,
,,,,,y,0,33.5,0,0,,,,8.3,21.7,,<RE>,
1FL,3,B,F2,P1,x,0,0.2,0,0,,648,400,0.1,0.2,考慮しない,,
,,,,,y,0,59.6,0,0,,,,14.8,38.6,,<RE>,
1FL,4,B,F2,P1,x,0,0.1,0,0,,648,400,0.1,0.1,考慮しない,,
,,,,,y,0,59.6,0,0,,,,14.8,38.6,,<RE>,
1FL,5,B,F2,P1,x,0,0.2,0,0,,648,400,0.1,0.1,考慮しない,,
,,,,,y,0,59.8,0,0,,,,14.8,38.7,,<RE>,
1FL,6,B,F2,P1,x,0,-0.4,0,0,,648,400,-0.1,-0.3,考慮しない,,
,,,,,y,0,60.3,0,0,,,,14.9,39,,<RE>,
1FL,7,B,F2,P1,x,0,3.5,0,0,,648,400,0.9,2.3,考慮しない,,
,,,,,y,0,34.7,0,0,,,,8.6,22.5,,<RE>,
1FL,1,D,F1,P1,x,0,-0.5,0,0,,648,225,-0.2,-0.3,考慮しない,,
,,,,,y,0,42.8,0,0,,,,18.1,27.7,,<RE>,
1FL,2,D,F2,P1,x,0,-2,0,0,,648,400,-0.5,-1.3,考慮しない,,
,,,,,y,0,50.3,0,0,,,,12.5,32.6,,<RE>,
1FL,3,D,F2,P1,x,0,-0.4,0,0,,648,400,-0.1,-0.2,考慮しない,,
,,,,,y,0,86.7,0,0,,,,21.5,56.1,,<RE>,
1FL,4,D,F2,P1,x,0,-0.4,0,0,,648,400,-0.1,-0.3,考慮しない,,
,,,,,y,0,87.1,0,0,,,,21.6,56.4,,<RE>,
1FL,5,D,F2,P1,x,0,-0.3,0,0,,648,400,-0.1,-0.2,考慮しない,,
,,,,,y,0,87.3,0,0,,,,21.6,56.5,,<RE>,
1FL,6,D,F2,P1,x,0,-0.7,0,0,,648,400,-0.2,-0.5,考慮しない,,
,,,,,y,0,87.4,0,0,,,,21.6,56.6,,<RE>,
1FL,7,D,F2,P1,x,0,3.3,0,0,,648,400,0.9,2.2,考慮しない,,
,,,,,y,0,49.7,0,0,,,,12.3,32.2,,<RE>,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎設計用曲げ応力表,case=L-Ey,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,杭符号,方向,支点M,支点Q,偏心M,杭頭M,杭頭Q,h1,h2,M1,M2,曲げの考慮,,
,,,,,,kNm,kN,kNm,kNm,kN,mm,mm,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,F1,P1,x,0,-0.6,0,0,,648,225,-0.3,-0.4,考慮しない,,
,,,,,y,0,-46,0,0,,,,-19.4,-29.8,,<RE>,
1FL,2,B,F2,P1,x,0,-3.2,0,0,,648,400,-0.8,-2.1,考慮しない,,
,,,,,y,0,-49.9,0,0,,,,-12.4,-32.3,,<RE>,
1FL,3,B,F2,P1,x,0,-0.5,0,0,,648,400,-0.2,-0.3,考慮しない,,
,,,,,y,0,-86.1,0,0,,,,-21.3,-55.7,,<RE>,
1FL,4,B,F2,P1,x,0,-0.6,0,0,,648,400,-0.2,-0.4,考慮しない,,
,,,,,y,0,-86.8,0,0,,,,-21.5,-56.2,,<RE>,
1FL,5,B,F2,P1,x,0,-0.5,0,0,,648,400,-0.2,-0.3,考慮しない,,
,,,,,y,0,-87.4,0,0,,,,-21.6,-56.6,,<RE>,
1FL,6,B,F2,P1,x,0,-1,0,0,,648,400,-0.3,-0.6,考慮しない,,
,,,,,y,0,-87.7,0,0,,,,-21.7,-56.8,,<RE>,
1FL,7,B,F2,P1,x,0,3.1,0,0,,648,400,0.8,2,考慮しない,,
,,,,,y,0,-50,0,0,,,,-12.4,-32.4,,<RE>,
1FL,1,D,F1,P1,x,0,0.1,0,0,,648,225,0.1,0.1,考慮しない,,
,,,,,y,0,-29.3,0,0,,,,-12.4,-19,,<RE>,
1FL,2,D,F2,P1,x,0,-1.7,0,0,,648,400,-0.5,-1.1,考慮しない,,
,,,,,y,0,-32.7,0,0,,,,-8.1,-21.2,,<RE>,
1FL,3,D,F2,P1,x,0,0.4,0,0,,648,400,0.1,0.3,考慮しない,,
,,,,,y,0,-58.6,0,0,,,,-14.5,-38,,<RE>,
1FL,4,D,F2,P1,x,0,0.3,0,0,,648,400,0.1,0.2,考慮しない,,
,,,,,y,0,-59,0,0,,,,-14.6,-38.2,,<RE>,
1FL,5,D,F2,P1,x,0,0.5,0,0,,648,400,0.2,0.3,考慮しない,,
,,,,,y,0,-59.5,0,0,,,,-14.8,-38.5,,<RE>,
1FL,6,D,F2,P1,x,0,-0.1,0,0,,648,400,-0.1,-0.1,考慮しない,,
,,,,,y,0,-60.3,0,0,,,,-14.9,-39,,<RE>,
1FL,7,D,F2,P1,x,0,3.7,0,0,,648,400,0.9,2.4,考慮しない,,
,,,,,y,0,-34.7,0,0,,,,-8.6,-22.5,,<RE>,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎設計用軸力表,,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,N [kN],,,,,,,,,,,,,
,,,,L,L+S,L+Wx,L-Wx,L+Wy,L-Wy,L+Ex,L-Ex,L+Ey,L-Ey,,,,
<data>,,,,,,,,,,,,,,,,,
