ApName,Super Build／SS7,,,,,,,,,,,,,,,,
1FL,1,B,F1,206.4,210.1,192.3,210.3,183.2,220.8,99.4,313.3,128.7,284,<RE>,,,
1FL,2,B,F2,570.7,582.5,546,566.9,520.4,589.4,545.1,596.4,432.6,708.8,<RE>,,,
1FL,3,B,F2,775.9,792.5,757.4,761.9,704.5,802.6,773.4,778.3,599,952.7,<RE>,,,
1FL,4,B,F2,780.6,797.5,766.3,765.2,709.5,806.2,781.9,779.4,605.7,955.6,<RE>,,,
1FL,5,B,F2,775.9,792.8,760.7,760.7,705.6,800.7,782.1,769.7,602.8,949,<RE>,,,
1FL,6,B,F2,785.3,801.9,769.2,763.5,716.3,809.5,746.9,823.7,613.8,956.7,<RE>,,,
1FL,7,B,F2,453.9,462.4,461.7,423.7,412.1,473.6,619.9,287.9,320,587.8,<RE>,,,
1FL,1,D,F1,362.6,370.3,317.4,383.4,368.1,340.1,100.4,624.9,439.6,285.7,<RE>,,,
1FL,2,D,F2,642.5,655.8,634.1,615.1,645.9,599.5,782.7,502.3,781.3,503.7,<RE>,,,
1FL,3,D,F2,781.8,799,758.2,767.4,789.4,723.2,762.9,800.7,958.7,604.8,<RE>,,,
1FL,4,D,F2,789.7,807.2,772.6,771.7,796,731.7,791.2,788.2,964.6,614.8,<RE>,,,
1FL,5,D,F2,786.3,803.8,768.9,768,791.8,729.1,793.8,778.8,959.5,613.1,<RE>,,,
1FL,6,D,F2,797.3,814.5,779.7,771.8,802.6,741.2,762.4,832.3,968.8,625.9,<RE>,,,
1FL,7,D,F2,461.7,470.5,468.3,428.7,471,425.9,628.7,294.8,595.6,327.9,<RE>,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=杭基礎検定比一覧,,,,,,,,,,,,,,,,,
符号,支持力,曲げ,,せん断,,パンチング,,,,,,,,,,,
,支持,x,y,x,y,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
F1,0.85,0,0,0,0,0,<RE>,,,,,,,,,,
F2,0.96,0,0.49,0,0.92,0,<RE>,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=支持力検討用軸力表,,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,杭符号,N [kN],,,,,,,,,,,,
,,,,,L,L+S,L+Wx,L-Wx,L+Wy,L-Wy,L+Ex,L-Ex,L+Ey,L-Ey,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,F1,P1,224.2,227.9,210.1,228.1,201,238.6,117.2,331.1,146.5,301.8,<RE>,,
1FL,2,B,F2,P1,630.1,641.9,605.3,626.3,579.7,648.7,604.4,655.7,492,768.2,<RE>,,
1FL,3,B,F2,P1,835.2,851.8,816.8,821.2,763.9,862,832.7,837.7,658.3,1012.1,<RE>,,
1FL,4,B,F2,P1,840,856.9,825.6,824.6,768.8,865.6,841.2,838.7,665,1014.9,<RE>,,
1FL,5,B,F2,P1,835.3,852.2,820,820,764.9,860.1,841.4,829.1,662.1,1008.4,<RE>,,
1FL,6,B,F2,P1,844.6,861.3,828.5,822.9,775.6,868.8,806.3,883,673.2,1016.1,<RE>,,
1FL,7,B,F2,P1,513.3,521.7,521.1,483.1,471.4,533,679.3,347.2,379.3,647.2,<RE>,,
1FL,1,D,F1,P1,380.4,388.1,335.2,401.2,385.9,357.9,118.2,642.7,457.4,303.5,<RE>,,
1FL,2,D,F2,P1,701.9,715.2,693.5,674.5,705.2,658.9,842.1,561.7,840.7,563.1,<RE>,,
1FL,3,D,F2,P1,841.1,858.4,817.6,826.8,848.7,782.6,822.2,860.1,1018.1,664.2,<RE>,,
1FL,4,D,F2,P1,849.1,866.6,832,831.1,855.3,791,850.6,847.6,1024,674.2,<RE>,,
1FL,5,D,F2,P1,845.7,863.1,828.2,827.3,851.2,788.5,853.1,838.2,1018.8,672.5,<RE>,,
1FL,6,D,F2,P1,856.7,873.8,839,831.1,861.9,800.6,821.7,891.6,1028.1,685.2,<RE>,,
1FL,7,D,F2,P1,521.1,529.9,527.6,488.1,530.4,485.2,688.1,354.1,654.9,387.3,<RE>,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=杭基礎断面算定表,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
基礎符号,,[ F1 ],支点位置,[1, -D],,,,長期,,短期,,,,,,
,Df=1100[mm],,D=450[mm],dtx=275[mm],,支,決定ｹｰｽ,,L,,L-Ex,,,,,,
杭径=268[mm],,,,dty=290[mm],,持,N,,363,,625,,,,,,
,,,,,,力,Wf,,18,,18,,,,,,
,,,,,,検,N + Wf,,381,,643,,,,,,
,,,,,,討,付加曲げMx,,,,,,,,,,
,,,,,,,付加曲げMy,,,,,,,,,,
,,,,,,,R,,381,,643,,,,,,
,,,,,,,Ra,,450,,900,,,,,,
,,,,,,,検定比,,0.85  OK,,0.72  OK,,,,,,
,,,,,,方向,,,X,Y,X,Y,,,,,
,,,,,,基,曲,決定ｹｰｽ,,,,,,,,,
,,,,,,礎,げ,付加曲げ,,,,,,,,,
,,,,,,断,,設計Md,,,,,,,,,
,,,,,,面,,ld,,,,,,,,,
,,,,,,算,,設計配筋,5-D13,5-D13,5-D13,5-D13,,,,,
,,,,,,定,,許容Ma,,,,,,,,,
,,,,,,,,検定比,,,,,,,,,
,,,,,,,せ,決定ｹｰｽ,,,,,,,,,
,,,,,,,ん,付加曲げ,,,,,,,,,
,,,,,,,断,設計Qd,,,,,,,,,
,,,,,,,,M/Qd,,,,,,,,,
,,,,,,,,α,,,,,,,,,
,,,,,,,,設計τ,,,,,,,,,
,,,,,,,,許容τ,,,,,,,,,
,,,,,,,,検定比,,,,,,,,,
,,,,,,,パン,決定ｹｰｽ,45°範囲内,,45°範囲内,,,,,,
,,,,,,,チング,付加曲げ,,,,,,,,,
,,,,,,,,設計Qpd,,,,,,,,,
,,,,,,,,許容Qpa,,,,,,,,,
,,,,,,,,検定比,,,,,<RE>,,,,
基礎符号,,[ F2 ],支点位置,[6, -D],,,,長期,,短期,,,,,,
,Df=1100[mm],,D=800[mm],dtx=290[mm],,支,決定ｹｰｽ,,L,,L+Ey,,,,,,
杭径=268[mm],,,,dty=275[mm],,持,N,,798,,969,,,,,,
,,,,,,力,Wf,,60,,60,,,,,,
,,,,,,検,N + Wf,,857,,1029,,,,,,
,,,,,,討,付加曲げMx,,,,,,,,,,
,,,,,,,付加曲げMy,,,,,,,,,,
,,,,,,,R,,429,,515,,,,,,
,,,,,,,Ra,,450,,900,,,,,,
,,,,,,,検定比,,0.96  OK,,0.58  OK,,,,,,
,,,,,,方向,,,X,Y,X,Y,,,,,
,,,,,,基,曲,決定ｹｰｽ,,L,,L+Ey,,,,,
,,,,,,礎,げ,付加曲げ,,,,,,,,,
,,,,,,断,,設計Md,,60,,73,,,,,
,,,,,,面,,ld,,,,630,,,,,
,,,,,,算,,設計配筋,11-D13,7-D16,11-D13,7-D16,,,,,
,,,,,,定,,許容Ma,,125,,189,,,,,
,,,,,,,,検定比,,0.49  OK,,0.39  OK,,,,,
,,,,,,,せ,決定ｹｰｽ,,L,,L+Ey,,,,,
,,,,,,,ん,付加曲げ,,,,,,,,,
,,,,,,,断,設計Qd,,399,,485,,,,,
,,,,,,,,M/Qd,,,,,,,,,
,,,,,,,,α,,,,,,,,,
,,,,,,,,設計τ,,0.65,,0.79,,,,,
,,,,,,,,許容τ,,0.7,,1.05,,,,,
,,,,,,,,検定比,,0.92  OK,,0.75  OK,,,,,
,,,,,,,パン,決定ｹｰｽ,45°範囲内,,45°範囲内,,,,,,
,,,,,,,チング,付加曲げ,,,,,,,,,
,,,,,,,,設計Qpd,,,,,,,,,
,,,,,,,,許容Qpa,,,,,,,,,
,,,,,,,,検定比,,,,,<RE>,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=既製杭検定比一覧,,,,,,,,,,,,,,,,,
符号,曲げ,せん断,,,,,,,,,,,,,,,
,上杭,上杭,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
P1,0.61,0.12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=杭設計用軸力表,,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,本数,N [kN/本],,,,,,,,,,,,
,,,,,L+Ex,L-Ex,L+Ey,L-Ey,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,P1,1,117.2,331.1,146.5,301.8,<RE>,,,,,,,,
1FL,2,B,P1,2,302.2,327.9,246,384.1,<RE>,,,,,,,,
1FL,3,B,P1,2,416.4,418.9,329.2,506.1,<RE>,,,,,,,,
1FL,4,B,P1,2,420.6,419.4,332.5,507.5,<RE>,,,,,,,,
1FL,5,B,P1,2,420.7,414.6,331.1,504.2,<RE>,,,,,,,,
1FL,6,B,P1,2,403.2,441.5,336.6,508.1,<RE>,,,,,,,,
1FL,7,B,P1,2,339.7,173.6,189.7,323.6,<RE>,,,,,,,,
1FL,1,D,P1,1,118.2,642.7,457.4,303.5,<RE>,,,,,,,,
1FL,2,D,P1,2,421.1,280.9,420.4,281.6,<RE>,,,,,,,,
1FL,3,D,P1,2,411.1,430.1,509.1,332.1,<RE>,,,,,,,,
1FL,4,D,P1,2,425.3,423.8,512,337.1,<RE>,,,,,,,,
1FL,5,D,P1,2,426.6,419.1,509.4,336.3,<RE>,,,,,,,,
1FL,6,D,P1,2,410.9,445.8,514.1,342.6,<RE>,,,,,,,,
1FL,7,D,P1,2,344.1,177.1,327.5,193.7,<RE>,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=既製杭断面算定表,,,,,,,,,,,,,,,,,
符号,支点,決定,設計軸力,,部位,曲げモーメント,,,,せん断力,,,,,,,
,位置,ｹｰｽ,Nmax,Nmin,,設計Md,杭種,許容Ma,検定比,設計Qd,許容Qa,検定比,,,,,
,,,kN,kN,,kNm,,kNm,,kN,kN,,,,,,
<data>,,,,,,,,,,,,,,,,,
P1,1,X加力,643,119,上杭,-54,t=9.3,90,0.61,-70,629,0.12,,,,,
, -D,,L-Ex,L+Ex,鋼管杭 490,,,,OK,,,OK,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=M-N関係表,case=P1,,,,,,,,,,,,,,,,
算定点,上杭,,,,,,,,,,,,,,,,
,M,N,,,,,,,,,,,,,,,
,kNm,kN,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1,0,-2082,<RE>,,,,,,,,,,,,,,
2,130,0,<RE>,,,,,,,,,,,,,,
3,0,2082,<RE>,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=既製杭杭頭定着筋選定,,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,杭符号,設計杭径,設計dt,鉄筋,,設計Md,必要Pg,必要,,,,,,
,,,,,,,径,材料,,,本数,,,,,,
,,,,,mm,mm,,,kNm,%,,,,,,,
<data>,,,,,,,,,,,,,,,,,
1FL,1,B,F1,P1,468,160,D13,SD295A,54,0.89,13,<RE>,,,,,
1FL,2,B,F2,P1,468,160,D13,SD295A,54,0.42,8,<RE>,,,,,
1FL,3,B,F2,P1,468,160,D13,SD295A,54,0.02,8,<RE>,,,,,
1FL,4,B,F2,P1,468,160,D13,SD295A,-54,0,0,<RE>,,,,,
1FL,5,B,F2,P1,468,160,D13,SD295A,54,0.01,8,<RE>,,,,,
1FL,6,B,F2,P1,468,160,D13,SD295A,-54,0,0,<RE>,,,,,
1FL,7,B,F2,P1,468,160,D13,SD295A,-54,0.7,10,<RE>,,,,,
1FL,1,D,F1,P1,468,160,D13,SD295A,54,0.89,12,<RE>,,,,,
1FL,2,D,F2,P1,468,160,D13,SD295A,-54,0.26,8,<RE>,,,,,
1FL,3,D,F2,P1,468,160,D13,SD295A,-54,0,0,<RE>,,,,,
1FL,4,D,F2,P1,468,160,D13,SD295A,-54,0,0,<RE>,,,,,
1FL,5,D,F2,P1,468,160,D13,SD295A,-54,0,0,<RE>,,,,,
1FL,6,D,F2,P1,468,160,D13,SD295A,-54,0,0,<RE>,,,,,
1FL,7,D,F2,P1,468,160,D13,SD295A,-54,0.69,10,<RE>,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎設計用軸力表（グリッド形式）,tab=独立基礎 [kN],層=1FL,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
E,L,,,,,,,,,,,,,,,,
,L+S,,,,,,,,,,,,,,,,
,L+Wx,,,,,,,,,,,,,,,,
,L-Wx,,,,,,,,,,,,,,,,
,L+Wy,,,,,,,,,,,,,,,,
,L-Wy,,,,,,,,,,,,,,,,
,L+Ex,,,,,,,,,,,,,,,,
,L-Ex,,,,,,,,,,,,,,,,
,L+Ey,,,,,,,,,,,,,,,,
,L-Ey,,,,,,,,,,,,,,,,
D,L,362.6,642.5,781.8,789.7,786.3,797.3,461.7,,,,,,,,,
,L+S,370.3,655.8,799,807.2,803.8,814.5,470.5,,,,,,,,,
,L+Wx,317.4,634.1,758.2,772.6,768.9,779.7,468.3,,,,,,,,,
,L-Wx,383.4,615.1,767.4,771.7,768,771.8,428.7,,,,,,,,,
,L+Wy,368.1,645.9,789.4,796,791.8,802.6,471,,,,,,,,,
,L-Wy,340.1,599.5,723.2,731.7,729.1,741.2,425.9,,,,,,,,,
,L+Ex,100.4,782.7,762.9,791.2,793.8,762.4,628.7,,,,,,,,,
,L-Ex,624.9,502.3,800.7,788.2,778.8,832.3,294.8,,,,,,,,,
,L+Ey,439.6,781.3,958.7,964.6,959.5,968.8,595.6,,,,,,,,,
,L-Ey,285.7,503.7,604.8,614.8,613.1,625.9,327.9,,,,,,,,,
C,L,,,,,,,,,,,,,,,,
,L+S,,,,,,,,,,,,,,,,
,L+Wx,,,,,,,,,,,,,,,,
,L-Wx,,,,,,,,,,,,,,,,
,L+Wy,,,,,,,,,,,,,,,,
,L-Wy,,,,,,,,,,,,,,,,
,L+Ex,,,,,,,,,,,,,,,,
,L-Ex,,,,,,,,,,,,,,,,
,L+Ey,,,,,,,,,,,,,,,,
,L-Ey,,,,,,,,,,,,,,,,
B,L,206.4,570.7,775.9,780.6,775.9,785.3,453.9,,,,,,,,,
,L+S,210.1,582.5,792.5,797.5,792.8,801.9,462.4,,,,,,,,,
,L+Wx,192.3,546,757.4,766.3,760.7,769.2,461.7,,,,,,,,,
,L-Wx,210.3,566.9,761.9,765.2,760.7,763.5,423.7,,,,,,,,,
,L+Wy,183.2,520.4,704.5,709.5,705.6,716.3,412.1,,,,,,,,,
,L-Wy,220.8,589.4,802.6,806.2,800.7,809.5,473.6,,,,,,,,,
,L+Ex,99.4,545.1,773.4,781.9,782.1,746.9,619.9,,,,,,,,,
,L-Ex,313.3,596.4,778.3,779.4,769.7,823.7,287.9,,,,,,,,,
,L+Ey,128.7,432.6,599,605.7,602.8,613.8,320,,,,,,,,,
,L-Ey,284,708.8,952.7,955.6,949,956.7,587.8,,,,,,,,,
A,L,,,,,,,,,,,,,,,,
,L+S,,,,,,,,,,,,,,,,
,L+Wx,,,,,,,,,,,,,,,,
,L-Wx,,,,,,,,,,,,,,,,
,L+Wy,,,,,,,,,,,,,,,,
,L-Wy,,,,,,,,,,,,,,,,
,L+Ex,,,,,,,,,,,,,,,,
,L-Ex,,,,,,,,,,,,,,,,
,L+Ey,,,,,,,,,,,,,,,,
,L-Ey,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎設計用軸力表（グリッド形式）,tab=布基礎 [kN],層=1FL,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=支持力検討用軸力表（グリッド形式）,tab=独立基礎 [kN],層=1FL,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,
E,L,,,,,,,,,,,,,,,,
,L+S,,,,,,,,,,,,,,,,
,L+Wx,,,,,,,,,,,,,,,,
,L-Wx,,,,,,,,,,,,,,,,
,L+Wy,,,,,,,,,,,,,,,,
,L-Wy,,,,,,,,,,,,,,,,
,L+Ex,,,,,,,,,,,,,,,,
,L-Ex,,,,,,,,,,,,,,,,
,L+Ey,,,,,,,,,,,,,,,,
,L-Ey,,,,,,,,,,,,,,,,
D,L,380.4,701.9,841.1,849.1,845.7,856.7,521.1,,,,,,,,,
,L+S,388.1,715.2,858.4,866.6,863.1,873.8,529.9,,,,,,,,,
,L+Wx,335.2,693.5,817.6,832,828.2,839,527.6,,,,,,,,,
,L-Wx,401.2,674.5,826.8,831.1,827.3,831.1,488.1,,,,,,,,,
,L+Wy,385.9,705.2,848.7,855.3,851.2,861.9,530.4,,,,,,,,,
,L-Wy,357.9,658.9,782.6,791,788.5,800.6,485.2,,,,,,,,,
,L+Ex,118.2,842.1,822.2,850.6,853.1,821.7,688.1,,,,,,,,,
,L-Ex,642.7,561.7,860.1,847.6,838.2,891.6,354.1,,,,,,,,,
,L+Ey,457.4,840.7,1018.1,1024,1018.8,1028.1,654.9,,,,,,,,,
,L-Ey,303.5,563.1,664.2,674.2,672.5,685.2,387.3,,,,,,,,,
C,L,,,,,,,,,,,,,,,,
,L+S,,,,,,,,,,,,,,,,
,L+Wx,,,,,,,,,,,,,,,,
,L-Wx,,,,,,,,,,,,,,,,
,L+Wy,,,,,,,,,,,,,,,,
,L-Wy,,,,,,,,,,,,,,,,
,L+Ex,,,,,,,,,,,,,,,,
,L-Ex,,,,,,,,,,,,,,,,
,L+Ey,,,,,,,,,,,,,,,,
,L-Ey,,,,,,,,,,,,,,,,
B,L,224.2,630.1,835.2,840,835.3,844.6,513.3,,,,,,,,,
,L+S,227.9,641.9,851.8,856.9,852.2,861.3,521.7,,,,,,,,,
,L+Wx,210.1,605.3,816.8,825.6,820,828.5,521.1,,,,,,,,,
,L-Wx,228.1,626.3,821.2,824.6,820,822.9,483.1,,,,,,,,,
,L+Wy,201,579.7,763.9,768.8,764.9,775.6,471.4,,,,,,,,,
,L-Wy,238.6,648.7,862,865.6,860.1,868.8,533,,,,,,,,,
,L+Ex,117.2,604.4,832.7,841.2,841.4,806.3,679.3,,,,,,,,,
,L-Ex,331.1,655.7,837.7,838.7,829.1,883,347.2,,,,,,,,,
,L+Ey,146.5,492,658.3,665,662.1,673.2,379.3,,,,,,,,,
,L-Ey,301.8,768.2,1012.1,1014.9,1008.4,1016.1,647.2,,,,,,,,,
A,L,,,,,,,,,,,,,,,,
,L+S,,,,,,,,,,,,,,,,
,L+Wx,,,,,,,,,,,,,,,,
,L-Wx,,,,,,,,,,,,,,,,
,L+Wy,,,,,,,,,,,,,,,,
,L-Wy,,,,,,,,,,,,,,,,
,L+Ex,,,,,,,,,,,,,,,,
,L-Ex,,,,,,,,,,,,,,,,
,L+Ey,,,,,,,,,,,,,,,,
,L-Ey,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=支持力検討用軸力表（グリッド形式）,tab=布基礎 [kN],層=1FL,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=杭設計用軸力表（グリッド形式）,tab=軸力 [kN/本],層=1FL,,,,,,,,,,,,,,,
,,1,,2,,3,,4,,5,,6,,7,,,
,,Nmax,Nmin,Nmax,Nmin,Nmax,Nmin,Nmax,Nmin,Nmax,Nmin,Nmax,Nmin,Nmax,Nmin,,
<data>,,,,,,,,,,,,,,,,,
E,L+Ex,,,,,,,,,,,,,,,,
,L-Ex,,,,,,,,,,,,,,,,
,L+Ey,,,,,,,,,,,,,,,,
,L-Ey,,,,,,,,,,,,,,,,
D,L+Ex,118.2,118.2,421.1,421.1,411.1,411.1,425.3,425.3,426.6,426.6,410.9,410.9,344.1,344.1,,
,L-Ex,642.7,642.7,280.9,280.9,430.1,430.1,423.8,423.8,419.1,419.1,445.8,445.8,177.1,177.1,,
,L+Ey,457.4,457.4,420.4,420.4,509.1,509.1,512,512,509.4,509.4,514.1,514.1,327.5,327.5,,
,L-Ey,303.5,303.5,281.6,281.6,332.1,332.1,337.1,337.1,336.3,336.3,342.6,342.6,193.7,193.7,,
C,L+Ex,,,,,,,,,,,,,,,,
,L-Ex,,,,,,,,,,,,,,,,
,L+Ey,,,,,,,,,,,,,,,,
,L-Ey,,,,,,,,,,,,,,,,
B,L+Ex,117.2,117.2,302.2,302.2,416.4,416.4,420.6,420.6,420.7,420.7,403.2,403.2,339.7,339.7,,
,L-Ex,331.1,331.1,327.9,327.9,418.9,418.9,419.4,419.4,414.6,414.6,441.5,441.5,173.6,173.6,,
,L+Ey,146.5,146.5,246,246,329.2,329.2,332.5,332.5,331.1,331.1,336.6,336.6,189.7,189.7,,
,L-Ey,301.8,301.8,384.1,384.1,506.1,506.1,507.5,507.5,504.2,504.2,508.1,508.1,323.6,323.6,,
A,L+Ex,,,,,,,,,,,,,,,,
,L-Ex,,,,,,,,,,,,,,,,
,L+Ey,,,,,,,,,,,,,,,,
,L-Ey,,,,,,,,,,,,,,,,
